id,rooms,bathrooms,m2,price,address,url,is_sent
28039035,1,1,60,11000,"Seguros Postales #9Int. 1, Col. Postal, Benito Juárez, DF / CDMX, México, C.P. 03410, ",https://propiedades.com/inmuebles/departamento-en-renta-seguros-postales-9-postal-df-28039035#pagina=1&tipos=departamentos-renta&area=postal-df&pos=5,
28907378,2,2,60,10000,"Calzada de Tlalpan  #811, Col. Postal, Benito Juárez, DF / CDMX, México, C.P. 03410, ",https://propiedades.com/inmuebles/departamento-en-renta-calzada-de-tlalpan-811-postal-df-28907378#pagina=1&tipos=departamentos-renta&area=postal-df&pos=6,
28515434,1,1,6,6000,"MENSAJEROS, Col. Postal, Benito Juárez, DF / CDMX, México, C.P. 03410, ",https://propiedades.com/inmuebles/departamento-en-renta-mensajeros-postal-df-28515434#pagina=1&tipos=departamentos-renta&area=postal-df&pos=7,
28491532,1,1,9,6000,"MENSAJEROS, Col. Postal, Benito Juárez, DF / CDMX, México, C.P. 03410, ",https://propiedades.com/inmuebles/departamento-en-renta-mensajeros-postal-df-28491532#pagina=1&tipos=departamentos-renta&area=postal-df&pos=8,
28912140,2,2,70,12500,"Viaducto Piedad  #301Int. 102, Col. Viaducto Piedad, Iztacalco, DF / CDMX, México, C.P. 08200, ",https://propiedades.com/inmuebles/departamento-en-renta-viaducto-piedad-301-viaducto-piedad-df-28912140#pagina=1&tipos=departamentos-renta&area=postal-df&pos=3,
28803114,1,1,40,13500,"Petén 152 #152, Col. Unidad Narvarte IMSS, Benito Juárez, DF / CDMX, México, C.P. 03023, ",https://propiedades.com/inmuebles/departamento-en-renta-peten-152-152-unidad-narvarte-imss-df-28803114#pagina=1&tipos=departamentos-renta&area=postal-df&pos=4,
21017455,2,2,80,16500,"Xola, Col. Narvarte Oriente, Benito Juárez, DF / CDMX, México, C.P. 03023, ",https://propiedades.com/inmuebles/departamento-en-renta-xola-narvarte-oriente-df-21017455#pagina=1&tipos=departamentos-renta&area=postal-df&pos=5,
28823898,2,1,65,16000,"Calzada de Tlalpan 550 #550Int. TORRE ""D"" 1002, Col. Moderna, Benito Juárez, DF / CDMX, México, C.P. 03510, ",https://propiedades.com/inmuebles/departamento-en-renta-calzada-de-tlalpan-550-550-moderna-df-28823898#pagina=1&tipos=departamentos-renta&area=postal-df&pos=8,
28913110,1,1,49,8300,"Playa Miramar 354 #354, Col. Reforma Iztaccihuatl Norte, Iztacalco, DF / CDMX, México, C.P. 08810, ",https://propiedades.com/inmuebles/departamento-en-renta-playa-miramar-354-354-reforma-iztaccihuatl-norte-df-28913110#pagina=1&tipos=departamentos-renta&area=postal-df&pos=12,
28793930,2,65,,15000,"TLALPAN, Col. Moderna, Benito Juárez, DF / CDMX, México, C.P. 03510, ",https://propiedades.com/inmuebles/departamento-en-renta-tlalpan-moderna-df-28793930#pagina=1&tipos=departamentos-renta&area=postal-df&pos=15,
